Entry number,Entry ID,Source,Street field,Authoritative locality field(s),Lookup street,Lookup locality,Lookup key,Duplicate lookup reused,Review category,Status,Hydrants pill,Query attempted,Matched official address,Method used,Score,Latitude,Longitude,Manual override,Notes / unresolved reason,Fallback address when grey
302,BLACKWOOD MAIN-210,BLACKWOOD MAIN,HILLTOP DRIVE,HAWTHORNDENE,HILLTOP DRIVE,HAWTHORNDENE,HILLTOP DRIVE|HAWTHORNDENE,No,Failed,Failed,Grey fallback,"1 HILLTOP DRIVE, HAWTHORNDENE SA | 2 HILLTOP DRIVE, HAWTHORNDENE SA | HILLTOP DRIVE, HAWTHORNDENE SA",,,,,,No,No. 2: returned suburb/locality does not exactly match; No. 2: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
305,BLACKWOOD PARK-34,BLACKWOOD PARK,HOLLYHOCK COURT,CRAIGBURN FARM,HOLLYHOCK COURT,CRAIGBURN FARM,HOLLYHOCK COURT|CRAIGBURN FARM,No,Failed,Failed,Grey fallback,"1 HOLLYHOCK COURT, CRAIGBURN FARM SA | 2 HOLLYHOCK COURT, CRAIGBURN FARM SA | HOLLYHOCK COURT, CRAIGBURN FARM SA",,,,,,No,street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
326,BLACKWOOD MAIN-227,BLACKWOOD MAIN,JUBILEE DRIVE,BELAIR NATIONAL PARK,JUBILEE DRIVE,BELAIR NATIONAL PARK,JUBILEE DRIVE|BELAIR NATIONAL PARK,No,Failed,Failed,Grey fallback,"1 JUBILEE DRIVE, BELAIR NATIONAL PARK SA | 2 JUBILEE DRIVE, BELAIR NATIONAL PARK SA | JUBILEE DRIVE, BELAIR NATIONAL PARK SA",,,,,,No,No. 2: returned suburb/locality does not exactly match; No. 2: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
343,BLACKWOOD MAIN-240,BLACKWOOD MAIN,KROWALLE COURT,HAWTHORNDENE,KROWALLE COURT,HAWTHORNDENE,KROWALLE COURT|HAWTHORNDENE,No,Failed,Failed,Grey fallback,"1 KROWALLE COURT, HAWTHORNDENE SA | 2 KROWALLE COURT, HAWTHORNDENE SA | KROWALLE COURT, HAWTHORNDENE SA",,,,,,No,No. 1: returned street does not exactly match; No. 2: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
346,CORO EAST & CHERRY-14,CORO EAST & CHERRY,LAFFERTY ROAD,CHERRY GARDENS,LAFFERTY ROAD,CHERRY GARDENS,LAFFERTY ROAD|CHERRY GARDENS,No,Failed,Failed,Grey fallback,"1 LAFFERTY ROAD, CHERRY GARDENS SA | 2 LAFFERTY ROAD, CHERRY GARDENS SA | LAFFERTY ROAD, CHERRY GARDENS SA",,,,,,No,No. 1: returned suburb/locality does not exactly match; No. 1: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
347,BLACKWOOD MAIN-242,BLACKWOOD MAIN,LALOR COURT,BELAIR,LALOR COURT,BELAIR,LALOR COURT|BELAIR,No,Failed,Failed,Grey fallback,"1 LALOR COURT, BELAIR SA | 2 LALOR COURT, BELAIR SA | LALOR COURT, BELAIR SA",,,,,,No,No exact official candidate returned,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
361,BLACKWOOD MAIN-252,BLACKWOOD MAIN,LITTLE JOHN STREET,GLENALTA,LITTLE JOHN STREET,GLENALTA,LITTLE JOHN STREET|GLENALTA,No,Failed,Failed,Grey fallback,"1 LITTLE JOHN STREET, GLENALTA SA | 2 LITTLE JOHN STREET, GLENALTA SA | LITTLE JOHN STREET, GLENALTA SA",,,,,,No,No exact official candidate returned,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
384,CORO EAST & CHERRY-20,CORO EAST & CHERRY,MATTHEWS ROAD,DORSET VALE,MATTHEWS ROAD,DORSET VALE,MATTHEWS ROAD|DORSET VALE,No,Failed,Failed,Grey fallback,"1 MATTHEWS ROAD, DORSET VALE SA | 2 MATTHEWS ROAD, DORSET VALE SA | MATTHEWS ROAD, DORSET VALE SA",,,,,,No,No. 1: returned suburb/locality does not exactly match; No. 2: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
393,BLACKWOOD MAIN-269,BLACKWOOD MAIN,MELIA GROVE,PASADENA,MELIA GROVE,PASADENA,MELIA GROVE|PASADENA,No,Failed,Failed,Grey fallback,"1 MELIA GROVE, PASADENA SA | 2 MELIA GROVE, PASADENA SA | MELIA GROVE, PASADENA SA",,,,,,No,No exact official candidate returned,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
395,BLACKWOOD MAIN-271,BLACKWOOD MAIN,MELVILLE GULLY ROAD,BELAIR NATIONAL PARK,MELVILLE GULLY ROAD,BELAIR NATIONAL PARK,MELVILLE GULLY ROAD|BELAIR NATIONAL PARK,No,Failed,Failed,Grey fallback,"1 MELVILLE GULLY ROAD, BELAIR NATIONAL PARK SA | 2 MELVILLE GULLY ROAD, BELAIR NATIONAL PARK SA | MELVILLE GULLY ROAD, BELAIR NATIONAL PARK SA",,,,,,No,No exact official candidate returned,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
425,BLACKWOOD MAIN-296,BLACKWOOD MAIN,NARDU CRESCENT,BELAIR,NARDU CRESCENT,BELAIR,NARDU CRESCENT|BELAIR,No,Failed,Failed,Grey fallback,"1 NARDU CRESCENT, BELAIR SA | 2 NARDU CRESCENT, BELAIR SA | NARDU CRESCENT, BELAIR SA",,,,,,No,No exact official candidate returned,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
427,BLACKWOOD MAIN-298,BLACKWOOD MAIN,NERLI STREET,EDEN HILLS,NERLI STREET,EDEN HILLS,NERLI STREET|EDEN HILLS,No,Failed,Failed,Grey fallback,"1 NERLI STREET, EDEN HILLS SA | 2 NERLI STREET, EDEN HILLS SA | NERLI STREET, EDEN HILLS SA",,,,,,No,No exact official candidate returned,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
430,BLACKWOOD MAIN-299,BLACKWOOD MAIN,NICOLE AVENUE,HAWTHORNDENE,NICOLE AVENUE,HAWTHORNDENE,NICOLE AVENUE|HAWTHORNDENE,No,Failed,Failed,Grey fallback,"1 NICOLE AVENUE, HAWTHORNDENE SA | 2 NICOLE AVENUE, HAWTHORNDENE SA | NICOLE AVENUE, HAWTHORNDENE SA",,,,,,No,No. 1: returned street does not exactly match; No. 2: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
435,BLACKWOOD MAIN-302,BLACKWOOD MAIN,NORTHCOTE STREET,EDEN HILLS,NORTHCOTE STREET,EDEN HILLS,NORTHCOTE STREET|EDEN HILLS,No,Failed,Failed,Grey fallback,"1 NORTHCOTE STREET, EDEN HILLS SA | 2 NORTHCOTE STREET, EDEN HILLS SA | NORTHCOTE STREET, EDEN HILLS SA",,,,,,No,No. 1: returned suburb/locality does not exactly match; No. 2: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
459,BLACKWOOD MAIN-321,BLACKWOOD MAIN,PENDELBURY WAY,BELLEVUE HEIGHTS,PENDELBURY WAY,BELLEVUE HEIGHTS,PENDELBURY WAY|BELLEVUE HEIGHTS,No,Failed,Failed,Grey fallback,"1 PENDELBURY WAY, BELLEVUE HEIGHTS SA | 2 PENDELBURY WAY, BELLEVUE HEIGHTS SA | PENDELBURY WAY, BELLEVUE HEIGHTS SA",,,,,,No,No exact official candidate returned,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
461,BLACKWOOD MAIN-323,BLACKWOOD MAIN,PENNO PARADE NORTH,BELAIR,PENNO PARADE NORTH,BELAIR,PENNO PARADE NORTH|BELAIR,No,Failed,Failed,Grey fallback,"1 PENNO PARADE NORTH, BELAIR SA | 2 PENNO PARADE NORTH, BELAIR SA | PENNO PARADE NORTH, BELAIR SA",,,,,,No,No. 1: returned street does not exactly match; No. 2: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
462,BLACKWOOD MAIN-324,BLACKWOOD MAIN,PENNO PARADE SOUTH,BLACKWOOD,PENNO PARADE SOUTH,BLACKWOOD,PENNO PARADE SOUTH|BLACKWOOD,No,Failed,Failed,Grey fallback,"1 PENNO PARADE SOUTH, BLACKWOOD SA | 2 PENNO PARADE SOUTH, BLACKWOOD SA | PENNO PARADE SOUTH, BLACKWOOD SA",,,,,,No,No. 1: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
471,BLACKWOOD MAIN-333,BLACKWOOD MAIN,PINES OVAL ROAD,BELAIR NATIONAL PARK,PINES OVAL ROAD,BELAIR NATIONAL PARK,PINES OVAL ROAD|BELAIR NATIONAL PARK,No,Failed,Failed,Grey fallback,"1 PINES OVAL ROAD, BELAIR NATIONAL PARK SA | 2 PINES OVAL ROAD, BELAIR NATIONAL PARK SA | PINES OVAL ROAD, BELAIR NATIONAL PARK SA",,,,,,No,No exact official candidate returned,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
472,BLACKWOOD MAIN-334,BLACKWOOD MAIN,PITT STREET,EDEN HILLS,PITT STREET,EDEN HILLS,PITT STREET|EDEN HILLS,No,Failed,Failed,Grey fallback,"1 PITT STREET, EDEN HILLS SA | 2 PITT STREET, EDEN HILLS SA | PITT STREET, EDEN HILLS SA",,,,,,No,No. 2: returned street does not exactly match; No. 2: returned street does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
475,BLACKWOOD MAIN-337,BLACKWOOD MAIN,PLYMOUTH AVENUE,BLACKWOOD/CORO VALLEY,PLYMOUTH AVENUE,BLACKWOOD/CORO VALLEY,PLYMOUTH AVENUE|BLACKWOOD CORO VALLEY,No,Failed,Failed,Grey fallback,"1 PLYMOUTH AVENUE, BLACKWOOD/CORO VALLEY SA | 2 PLYMOUTH AVENUE, BLACKWOOD/CORO VALLEY SA | PLYMOUTH AVENUE, BLACKWOOD/CORO VALLEY SA",,,,,,No,No. 2: returned suburb/locality does not exactly match; No. 2: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
486,BLACKWOOD MAIN-345,BLACKWOOD MAIN,QUEENS JUBILEE DRIVE,BELAIR NATIONAL PARK,QUEENS JUBILEE DRIVE,BELAIR NATIONAL PARK,QUEENS JUBILEE DRIVE|BELAIR NATIONAL PARK,No,Failed,Failed,Grey fallback,"1 QUEENS JUBILEE DRIVE, BELAIR NATIONAL PARK SA | 2 QUEENS JUBILEE DRIVE, BELAIR NATIONAL PARK SA | QUEENS JUBILEE DRIVE, BELAIR NATIONAL PARK SA",,,,,,No,street-only: returned suburb/locality does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
504,BLACKWOOD MAIN-359,BLACKWOOD MAIN,RING ROAD,BEDFORD PARK,RING ROAD,BEDFORD PARK,RING ROAD|BEDFORD PARK,No,Failed,Failed,Grey fallback,"1 RING ROAD, BEDFORD PARK SA | 2 RING ROAD, BEDFORD PARK SA | RING ROAD, BEDFORD PARK SA",,,,,,No,No. 2: returned street does not exactly match; No. 2: returned street does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
505,CORO STREETS-82,CORO STREETS,RIVER GLEN PLACE,COROMANDEL VALLEY,RIVER GLEN PLACE,COROMANDEL VALLEY,RIVER GLEN PLACE|COROMANDEL VALLEY,No,Failed,Failed,Grey fallback,"1 RIVER GLEN PLACE, COROMANDEL VALLEY SA | 2 RIVER GLEN PLACE, COROMANDEL VALLEY SA | RIVER GLEN PLACE, COROMANDEL VALLEY SA",,,,,,No,No. 1: returned suburb/locality does not exactly match; No. 2: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
518,BLACKWOOD MAIN-368,BLACKWOOD MAIN,SADDLE HILL ROAD,BELAIR NATIONAL PARK,SADDLE HILL ROAD,BELAIR NATIONAL PARK,SADDLE HILL ROAD|BELAIR NATIONAL PARK,No,Failed,Failed,Grey fallback,"1 SADDLE HILL ROAD, BELAIR NATIONAL PARK SA | 2 SADDLE HILL ROAD, BELAIR NATIONAL PARK SA | SADDLE HILL ROAD, BELAIR NATIONAL PARK SA",,,,,,No,street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
539,CORO STREETS-90,CORO STREETS,SHEPHERDS COURT,COROMANDEL VALLEY,SHEPHERDS COURT,COROMANDEL VALLEY,SHEPHERDS COURT|COROMANDEL VALLEY,No,Failed,Failed,Grey fallback,"1 SHEPHERDS COURT, COROMANDEL VALLEY SA | 2 SHEPHERDS COURT, COROMANDEL VALLEY SA | SHEPHERDS COURT, COROMANDEL VALLEY SA",,,,,,No,No. 1: returned street does not exactly match; No. 2: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
548,BLACKWOOD MAIN-392,BLACKWOOD MAIN,SIR EDWIN AVENUE,BELAIR NATIONAL PARK,SIR EDWIN AVENUE,BELAIR NATIONAL PARK,SIR EDWIN AVENUE|BELAIR NATIONAL PARK,No,Failed,Failed,Grey fallback,"1 SIR EDWIN AVENUE, BELAIR NATIONAL PARK SA | 2 SIR EDWIN AVENUE, BELAIR NATIONAL PARK SA | SIR EDWIN AVENUE, BELAIR NATIONAL PARK SA",,,,,,No,street-only: returned suburb/locality does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
559,BLACKWOOD MAIN-399,BLACKWOOD MAIN,SPRINGWOOD COURT,EDEN HILLS,SPRINGWOOD COURT,EDEN HILLS,SPRINGWOOD COURT|EDEN HILLS,No,Failed,Failed,Grey fallback,"1 SPRINGWOOD COURT, EDEN HILLS SA | 2 SPRINGWOOD COURT, EDEN HILLS SA | SPRINGWOOD COURT, EDEN HILLS SA",,,,,,No,No. 1: returned street does not exactly match; No. 2: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
