Entry number,Entry ID,Source,Street field,Authoritative locality field(s),Lookup street,Lookup locality,Lookup key,Duplicate lookup reused,Review category,Status,Hydrants pill,Query attempted,Matched official address,Method used,Score,Latitude,Longitude,Manual override,Notes / unresolved reason,Fallback address when grey
277,BLACKWOOD MAIN-194,BLACKWOOD MAIN,HAKEA COURT,COROMANDEL VALLEY,HAKEA COURT,COROMANDEL VALLEY,HAKEA COURT|COROMANDEL VALLEY,Yes,Ambiguous,Ambiguous,Grey fallback,"1 HAKEA COURT, COROMANDEL VALLEY SA | 2 HAKEA COURT, COROMANDEL VALLEY SA | HAKEA COURT, COROMANDEL VALLEY SA",,,,,,No,street-only: 2 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
278,CORO STREETS-42,CORO STREETS,HAKEA COURT,COROMANDEL VALLEY,HAKEA COURT,COROMANDEL VALLEY,HAKEA COURT|COROMANDEL VALLEY,Yes,Ambiguous,Ambiguous,Grey fallback,"1 HAKEA COURT, COROMANDEL VALLEY SA | 2 HAKEA COURT, COROMANDEL VALLEY SA | HAKEA COURT, COROMANDEL VALLEY SA",,,,,,No,street-only: 2 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
282,BLACKWOOD MAIN-198,BLACKWOOD MAIN,HAWKER AVENUE,BELAIR,HAWKER AVENUE,BELAIR,HAWKER AVENUE|BELAIR,No,Ambiguous,Ambiguous,Grey fallback,"1 HAWKER AVENUE, BELAIR SA | 2 HAWKER AVENUE, BELAIR SA | HAWKER AVENUE, BELAIR SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
283,BLACKWOOD MAIN-199,BLACKWOOD MAIN,HAWTHORNDENE DRIVE,HAWTHORNDENE,HAWTHORNDENE DRIVE,HAWTHORNDENE,HAWTHORNDENE DRIVE|HAWTHORNDENE,No,Ambiguous,Ambiguous,Grey fallback,"1 HAWTHORNDENE DRIVE, HAWTHORNDENE SA | 2 HAWTHORNDENE DRIVE, HAWTHORNDENE SA | HAWTHORNDENE DRIVE, HAWTHORNDENE SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
284,BLACKWOOD PARK-32,BLACKWOOD PARK,HAYMAN RETREAT,CRAIGBURN FARM,HAYMAN RETREAT,CRAIGBURN FARM,HAYMAN RETREAT|CRAIGBURN FARM,No,Ambiguous,Ambiguous,Grey fallback,"1 HAYMAN RETREAT, CRAIGBURN FARM SA | 2 HAYMAN RETREAT, CRAIGBURN FARM SA | HAYMAN RETREAT, CRAIGBURN FARM SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
289,CORO EAST & CHERRY-12,CORO EAST & CHERRY,HICKS HILL ROAD,CHERRY GARDENS,HICKS HILL ROAD,CHERRY GARDENS,HICKS HILL ROAD|CHERRY GARDENS,No,Ambiguous,Ambiguous,Grey fallback,"1 HICKS HILL ROAD, CHERRY GARDENS SA | 2 HICKS HILL ROAD, CHERRY GARDENS SA | HICKS HILL ROAD, CHERRY GARDENS SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
291,BLACKWOOD PARK-33,BLACKWOOD PARK,HIGHFIELD DRIVE,CRAIGBURN FARM,HIGHFIELD DRIVE,CRAIGBURN FARM,HIGHFIELD DRIVE|CRAIGBURN FARM,No,Ambiguous,Ambiguous,Grey fallback,"1 HIGHFIELD DRIVE, CRAIGBURN FARM SA | 2 HIGHFIELD DRIVE, CRAIGBURN FARM SA | HIGHFIELD DRIVE, CRAIGBURN FARM SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
311,BLACKWOOD MAIN-217,BLACKWOOD MAIN,HUNTINGDON DRIVE,GLENALTA,HUNTINGDON DRIVE,GLENALTA,HUNTINGDON DRIVE|GLENALTA,No,Ambiguous,Ambiguous,Grey fallback,"1 HUNTINGDON DRIVE, GLENALTA SA | 2 HUNTINGDON DRIVE, GLENALTA SA | HUNTINGDON DRIVE, GLENALTA SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
317,CORO EAST & CHERRY-13,CORO EAST & CHERRY,JACOBS ROAD,CHERRY GARDENS,JACOBS ROAD,CHERRY GARDENS,JACOBS ROAD|CHERRY GARDENS,No,Ambiguous,Ambiguous,Grey fallback,"1 JACOBS ROAD, CHERRY GARDENS SA | 2 JACOBS ROAD, CHERRY GARDENS SA | JACOBS ROAD, CHERRY GARDENS SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
325,BLACKWOOD MAIN-226,BLACKWOOD MAIN,JOHNSON PARADE,BLACKWOOD,JOHNSON PARADE,BLACKWOOD,JOHNSON PARADE|BLACKWOOD,No,Ambiguous,Ambiguous,Grey fallback,"1 JOHNSON PARADE, BLACKWOOD SA | 2 JOHNSON PARADE, BLACKWOOD SA | JOHNSON PARADE, BLACKWOOD SA",,,,,,No,No. 1: 2 distinct exact candidates; street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
332,BLACKWOOD MAIN-232,BLACKWOOD MAIN,KENT AVENUE,GLENALTA,KENT AVENUE,GLENALTA,KENT AVENUE|GLENALTA,No,Ambiguous,Ambiguous,Grey fallback,"1 KENT AVENUE, GLENALTA SA | 2 KENT AVENUE, GLENALTA SA | KENT AVENUE, GLENALTA SA",,,,,,No,street-only: 6 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
337,BLACKWOOD MAIN-235,BLACKWOOD MAIN,KINNANE CRESCENT,PASADENA,KINNANE CRESCENT,PASADENA,KINNANE CRESCENT|PASADENA,No,Ambiguous,Ambiguous,Grey fallback,"1 KINNANE CRESCENT, PASADENA SA | 2 KINNANE CRESCENT, PASADENA SA | KINNANE CRESCENT, PASADENA SA",,,,,,No,street-only: 9 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
344,BLACKWOOD MAIN-241,BLACKWOOD MAIN,LAFFERS ROAD,BELAIR · GLENALTA,,,,No,Ambiguous,Ambiguous authoritative locality fields,Grey fallback,,,,,,,No,Multiple authoritative locality values are stored for this Directions entry; no locality was guessed.,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
345,CORO EAST & CHERRY-15,CORO EAST & CHERRY,LAFFERTY ROAD,CHANDLERS HILL,LAFFERTY ROAD,CHANDLERS HILL,LAFFERTY ROAD|CHANDLERS HILL,No,Ambiguous,Ambiguous,Grey fallback,"1 LAFFERTY ROAD, CHANDLERS HILL SA | 2 LAFFERTY ROAD, CHANDLERS HILL SA | LAFFERTY ROAD, CHANDLERS HILL SA",,,,,,No,No. 1: 3 distinct exact candidates; street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
353,CORO EAST & CHERRY-16,CORO EAST & CHERRY,LEWIS STREET,CHERRY GARDENS,LEWIS STREET,CHERRY GARDENS,LEWIS STREET|CHERRY GARDENS,No,Ambiguous,Ambiguous,Grey fallback,"1 LEWIS STREET, CHERRY GARDENS SA | 2 LEWIS STREET, CHERRY GARDENS SA | LEWIS STREET, CHERRY GARDENS SA",,,,,,No,No. 1: 3 distinct exact candidates; street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
356,BLACKWOOD MAIN-247,BLACKWOOD MAIN,LIND AVENUE,BELAIR,LIND AVENUE,BELAIR,LIND AVENUE|BELAIR,No,Ambiguous,Ambiguous,Grey fallback,"1 LIND AVENUE, BELAIR SA | 2 LIND AVENUE, BELAIR SA | LIND AVENUE, BELAIR SA",,,,,,No,street-only: 6 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
362,BLACKWOOD MAIN-253,BLACKWOOD MAIN,LONGVIEW AVENUE,BELAIR,LONGVIEW AVENUE,BELAIR,LONGVIEW AVENUE|BELAIR,No,Ambiguous,Ambiguous,Grey fallback,"1 LONGVIEW AVENUE, BELAIR SA | 2 LONGVIEW AVENUE, BELAIR SA | LONGVIEW AVENUE, BELAIR SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
368,CORO EAST & CHERRY-17,CORO EAST & CHERRY,MAHAR ROAD,CHERRY GARDENS,MAHAR ROAD,CHERRY GARDENS,MAHAR ROAD|CHERRY GARDENS,No,Ambiguous,Ambiguous,Grey fallback,"1 MAHAR ROAD, CHERRY GARDENS SA | 2 MAHAR ROAD, CHERRY GARDENS SA | MAHAR ROAD, CHERRY GARDENS SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
369,BLACKWOOD MAIN-259,BLACKWOOD MAIN,MAIN RD,"BLACKWOOD · COROMANDEL AREA · 357 ABOVE, & 358 ABOVE",,,,No,Ambiguous,Ambiguous authoritative locality fields,Grey fallback,,,,,,,No,Multiple authoritative locality values are stored for this Directions entry; no locality was guessed.,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
370,CORO EAST & CHERRY-18,CORO EAST & CHERRY,MAIN ROAD,CHERRY GARDENS · CHANDLERS HILL,,,,No,Ambiguous,Ambiguous authoritative locality fields,Grey fallback,,,,,,,No,Multiple authoritative locality values are stored for this Directions entry; no locality was guessed.,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
371,CORO STREETS-59,CORO STREETS,MAIN ROAD,COROMANDEL VALLEY · CHERRY GARDENS · CHANDLERS HILL,,,,No,Ambiguous,Ambiguous authoritative locality fields,Grey fallback,,,,,,,No,Multiple authoritative locality values are stored for this Directions entry; no locality was guessed.,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
372,BLACKWOOD PARK-38,BLACKWOOD PARK,MALBEC STREET,CRAIGBURN FARM,MALBEC STREET,CRAIGBURN FARM,MALBEC STREET|CRAIGBURN FARM,No,Ambiguous,Ambiguous,Grey fallback,"1 MALBEC STREET, CRAIGBURN FARM SA | 2 MALBEC STREET, CRAIGBURN FARM SA | MALBEC STREET, CRAIGBURN FARM SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
373,BLACKWOOD MAIN-260,BLACKWOOD MAIN,MALCOLM STREET,BEDFORD PARK,MALCOLM STREET,BEDFORD PARK,MALCOLM STREET|BEDFORD PARK,No,Ambiguous,Ambiguous,Grey fallback,"1 MALCOLM STREET, BEDFORD PARK SA | 2 MALCOLM STREET, BEDFORD PARK SA | MALCOLM STREET, BEDFORD PARK SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
380,CORO EAST & CHERRY-19,CORO EAST & CHERRY,MARSHALL ROAD,CHERRY GARDENS,MARSHALL ROAD,CHERRY GARDENS,MARSHALL ROAD|CHERRY GARDENS,No,Ambiguous,Ambiguous,Grey fallback,"1 MARSHALL ROAD, CHERRY GARDENS SA | 2 MARSHALL ROAD, CHERRY GARDENS SA | MARSHALL ROAD, CHERRY GARDENS SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
398,CORO STREETS-66,CORO STREETS,MEWS WAY,COROMANDEL VALLEY,MEWS WAY,COROMANDEL VALLEY,MEWS WAY|COROMANDEL VALLEY,No,Ambiguous,Ambiguous,Grey fallback,"1 MEWS WAY, COROMANDEL VALLEY SA | 2 MEWS WAY, COROMANDEL VALLEY SA | MEWS WAY, COROMANDEL VALLEY SA",,,,,,No,street-only: 9 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
407,BLACKWOOD MAIN-281,BLACKWOOD MAIN,MITCHELL CRESCENT,PASADENA,MITCHELL CRESCENT,PASADENA,MITCHELL CRESCENT|PASADENA,No,Ambiguous,Ambiguous,Grey fallback,"1 MITCHELL CRESCENT, PASADENA SA | 2 MITCHELL CRESCENT, PASADENA SA | MITCHELL CRESCENT, PASADENA SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
409,BLACKWOOD MAIN-282,BLACKWOOD MAIN,MONALTA DRIVE,BELAIR,MONALTA DRIVE,BELAIR,MONALTA DRIVE|BELAIR,No,Ambiguous,Ambiguous,Grey fallback,"1 MONALTA DRIVE, BELAIR SA | 2 MONALTA DRIVE, BELAIR SA | MONALTA DRIVE, BELAIR SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
412,BLACKWOOD MAIN-285,BLACKWOOD MAIN,MOUNT BARKER ROAD,EAGLE ON THE HILL · LEAWOOD GARDENS,,,,No,Ambiguous,Ambiguous authoritative locality fields,Grey fallback,,,,,,,No,Multiple authoritative locality values are stored for this Directions entry; no locality was guessed.,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
414,BLACKWOOD MAIN-287,BLACKWOOD MAIN,MOUNTBATTEN ROAD,BELLEVUE HEIGHTS,MOUNTBATTEN ROAD,BELLEVUE HEIGHTS,MOUNTBATTEN ROAD|BELLEVUE HEIGHTS,No,Ambiguous,Ambiguous,Grey fallback,"1 MOUNTBATTEN ROAD, BELLEVUE HEIGHTS SA | 2 MOUNTBATTEN ROAD, BELLEVUE HEIGHTS SA | MOUNTBATTEN ROAD, BELLEVUE HEIGHTS SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
417,BLACKWOOD MAIN-290,BLACKWOOD MAIN,MURRAY STREET,BLACKWOOD,MURRAY STREET,BLACKWOOD,MURRAY STREET|BLACKWOOD,No,Ambiguous,Ambiguous,Grey fallback,"1 MURRAY STREET, BLACKWOOD SA | 2 MURRAY STREET, BLACKWOOD SA | MURRAY STREET, BLACKWOOD SA",,,,,,No,street-only: 5 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
418,CORO STREETS-69,CORO STREETS,MURRAY'S HILL ROAD,COROMANDEL VALLEY · FLAGSTAFF HILL,,,,No,Ambiguous,Ambiguous authoritative locality fields,Grey fallback,,,,,,,No,Multiple authoritative locality values are stored for this Directions entry; no locality was guessed.,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
419,BLACKWOOD MAIN-291,BLACKWOOD MAIN,MURRAYS HILL ROAD,COROMANDEL VALLEY,MURRAYS HILL ROAD,COROMANDEL VALLEY,MURRAYS HILL ROAD|COROMANDEL VALLEY,No,Ambiguous,Ambiguous,Grey fallback,"1 MURRAYS HILL ROAD, COROMANDEL VALLEY SA | 2 MURRAYS HILL ROAD, COROMANDEL VALLEY SA | MURRAYS HILL ROAD, COROMANDEL VALLEY SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
429,BLACKWOOD PARK-40,BLACKWOOD PARK,NEWLAND COURT,CRAIGBURN FARM,NEWLAND COURT,CRAIGBURN FARM,NEWLAND COURT|CRAIGBURN FARM,No,Ambiguous,Ambiguous,Grey fallback,"1 NEWLAND COURT, CRAIGBURN FARM SA | 2 NEWLAND COURT, CRAIGBURN FARM SA | NEWLAND COURT, CRAIGBURN FARM SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
438,BLACKWOOD MAIN-305,BLACKWOOD MAIN,OAK CRESCENT,HAWTHORNDENE,OAK CRESCENT,HAWTHORNDENE,OAK CRESCENT|HAWTHORNDENE,No,Ambiguous,Ambiguous,Grey fallback,"1 OAK CRESCENT, HAWTHORNDENE SA | 2 OAK CRESCENT, HAWTHORNDENE SA | OAK CRESCENT, HAWTHORNDENE SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
439,CORO STREETS-74,CORO STREETS,OAKDENE CRESCENT,COROMANDEL VALLEY,OAKDENE CRESCENT,COROMANDEL VALLEY,OAKDENE CRESCENT|COROMANDEL VALLEY,No,Ambiguous,Ambiguous,Grey fallback,"1 OAKDENE CRESCENT, COROMANDEL VALLEY SA | 2 OAKDENE CRESCENT, COROMANDEL VALLEY SA | OAKDENE CRESCENT, COROMANDEL VALLEY SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
441,BLACKWOOD MAIN-307,BLACKWOOD MAIN,OFFLER AVENUE,BELLEVUE HEIGHTS,OFFLER AVENUE,BELLEVUE HEIGHTS,OFFLER AVENUE|BELLEVUE HEIGHTS,No,Ambiguous,Ambiguous,Grey fallback,"1 OFFLER AVENUE, BELLEVUE HEIGHTS SA | 2 OFFLER AVENUE, BELLEVUE HEIGHTS SA | OFFLER AVENUE, BELLEVUE HEIGHTS SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
442,BLACKWOOD MAIN-308,BLACKWOOD MAIN,OLAVE HILL ROAD,HAWTHORNDENE · UPPER STURT,,,,No,Ambiguous,Ambiguous authoritative locality fields,Grey fallback,,,,,,,No,Multiple authoritative locality values are stored for this Directions entry; no locality was guessed.,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
443,BLACKWOOD MAIN-309,BLACKWOOD MAIN,OLD BELAIR ROAD,BELAIR · MITCHAM,,,,No,Ambiguous,Ambiguous authoritative locality fields,Grey fallback,,,,,,,No,Multiple authoritative locality values are stored for this Directions entry; no locality was guessed.,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
445,CORO EAST & CHERRY-21,CORO EAST & CHERRY,ORCHARD ROAD,CHERRY GARDENS,ORCHARD ROAD,CHERRY GARDENS,ORCHARD ROAD|CHERRY GARDENS,No,Ambiguous,Ambiguous,Grey fallback,"1 ORCHARD ROAD, CHERRY GARDENS SA | 2 ORCHARD ROAD, CHERRY GARDENS SA | ORCHARD ROAD, CHERRY GARDENS SA",,,,,,No,street-only: 5 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
458,BLACKWOOD MAIN-320,BLACKWOOD MAIN,PEKINA STREET,EDEN HILLS,PEKINA STREET,EDEN HILLS,PEKINA STREET|EDEN HILLS,No,Ambiguous,Ambiguous,Grey fallback,"1 PEKINA STREET, EDEN HILLS SA | 2 PEKINA STREET, EDEN HILLS SA | PEKINA STREET, EDEN HILLS SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
465,BLACKWOOD MAIN-327,BLACKWOOD MAIN,PETHERICK STREET,GLENALTA,PETHERICK STREET,GLENALTA,PETHERICK STREET|GLENALTA,No,Ambiguous,Ambiguous,Grey fallback,"1 PETHERICK STREET, GLENALTA SA | 2 PETHERICK STREET, GLENALTA SA | PETHERICK STREET, GLENALTA SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
473,BLACKWOOD MAIN-335,BLACKWOOD MAIN,PLAYFORD AVENUE,BLACKWOOD,PLAYFORD AVENUE,BLACKWOOD,PLAYFORD AVENUE|BLACKWOOD,No,Ambiguous,Ambiguous,Grey fallback,"1 PLAYFORD AVENUE, BLACKWOOD SA | 2 PLAYFORD AVENUE, BLACKWOOD SA | PLAYFORD AVENUE, BLACKWOOD SA",,,,,,No,street-only: 8 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
476,CORO STREETS-77,CORO STREETS,PLYMOUTH AVENUE,COROMANDEL VALLEY,PLYMOUTH AVENUE,COROMANDEL VALLEY,PLYMOUTH AVENUE|COROMANDEL VALLEY,No,Ambiguous,Ambiguous,Grey fallback,"1 PLYMOUTH AVENUE, COROMANDEL VALLEY SA | 2 PLYMOUTH AVENUE, COROMANDEL VALLEY SA | PLYMOUTH AVENUE, COROMANDEL VALLEY SA",,,,,,No,street-only: 4 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
